hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0043,C[C@@H]1c2cc(F)ccc2CCN1[C@H]1CCCCN(c2cc(N)n(C)n2)C1,-7.92,-5.273,-13.193
HIT_0044,CC[C@@H]1Cc2ccccc2CN1C(=O)[C@@H]1N(c2ccccc2O)CC12CCCC2,-8.042,-5.137,-13.178999999999998
HIT_0045,O=C1CCN(c2cncc(N3CCc4cccc(F)c4C3)n2)[C@H]2CCC[C@@H]12,-7.107,-6.071,-13.178
HIT_0046,Fc1cc2c(cc1N1CCCC3(COC3)C1)N([C@@H]1CNc3ccccc31)CC2,-8.18,-4.983,-13.163
HIT_0047,O=C1NCCCc2c1cccc2N1CCc2cc(F)c(F)cc2C1,-8.459,-4.7,-13.158999999999999
HIT_0048,Oc1cccc2c1[C@@H](N1CCN(c3ncc(F)cn3)CC(F)(F)C1)CC2,-8.016,-5.138,-13.154
HIT_0049,N[C@]12CC[C@](C(=O)N3CCc4ccc(N5CCc6c(F)cc(F)cc6C5)cc43)(C1)C2,-7.986,-5.167,-13.152999999999999
HIT_0050,CC1(C)CN(c2cc(C(=O)N3CCc4c(F)ccc(F)c43)ccn2)[C@@H]1C(=O)O,-7.501,-5.637,-13.138
HIT_0051,C[C@H]1CCc2c(F)cccc2[C@@H]1Nc1ccc2c(c1)CCN2,-8.197,-4.941,-13.137999999999998
HIT_0052,Cc1cc(F)cc2c1N(c1ccc3c(n1)N(C(=O)[C@H]1CCNC1)CCC3)CC2,-8.032,-5.098,-13.129999999999999
HIT_0053,N#C[C@]1(F)CCN(c2cccc([C@@H]3CCN3[C@@H]3CCCCC(=O)CC3)c2)C1,-8.269,-4.851,-13.120000000000001
HIT_0054,Cc1cc2c(cc1N[C@@H]1CCOc3c(C)cccc3C1=O)CNCC2,-7.642,-5.472,-13.114
HIT_0055,O=C1c2c(cccc2N2CCc3ccc(F)cc32)CN1[C@@]1(C(=O)O)CCCc2c(O)cccc21,-8.313,-4.794,-13.107
HIT_0056,C[C@@H]1CN(c2cccc3c2CCN(c2cc4c(cc2F)OCCN4)C3)C[C@@H](C)O1,-7.83,-5.277,-13.107
HIT_0057,O[C@H]1CCc2cc(N3CCc4ccc(F)c(F)c43)ccc21,-7.89,-5.205,-13.094999999999999
HIT_0058,Cc1ccc(Oc2cc(O)c(N3CCc4cccc(F)c4[C@@H]3C)c(C)n2)c(O)c1,-7.092,-6.0,-13.091999999999999
HIT_0059,Fc1ccc(F)c2c1CCN(c1ccc3c(c1)OCCN3)C2,-7.544,-5.546,-13.09
HIT_0060,Cc1ccc(C(=O)N2CCCc3n[nH]cc32)cc1N1CC2(CCC2)[C@H]1C(=O)O,-7.42,-5.667,-13.087
HIT_0061,C[C@H]1CN(c2cnc3c(c2)CCN(c2cccc4c2CCCNC4)C3)CCC[C@]1(C)O,-7.474,-5.611,-13.085
HIT_0062,Cc1cc(F)nc(Nc2ccc3c(c2)NCC[C@@H]3N2CCC(=O)[C@H](C)C2)c1,-7.466,-5.619,-13.085
HIT_0063,Cc1cccc(-c2ccc3c(n2)N([C@H]2CCCCNC2)CCCC3)c1F,-7.951,-5.125,-13.076
HIT_0064,Cc1ccc(F)c2c1N(c1ccc3c(c1)C[C@@H](C)C(=O)N3)CCC2,-7.877,-5.193,-13.07
HIT_0065,CO[C@H]1CCN(c2ccc3c(c2)N(c2ccc4c(c2)[C@@]2(CCC4)COCCN2)CC3)[C@H]1C,-7.965,-5.102,-13.067
HIT_0066,C[C@H]1C[C@H](O)CN(c2cccc(N3CCC(=O)c4ccccc4C3)n2)C1,-8.217,-4.842,-13.059000000000001
HIT_0067,O[C@@H]1CCN(c2ccc3c(c2)N(c2cccc(F)c2)CC3)C[C@H]1F,-8.211,-4.848,-13.059000000000001
HIT_0068,Oc1cnccc1N1CC[C@@H](N2CCc3c(F)cccc3C2)c2ccccc2C1,-8.116,-4.932,-13.048
HIT_0069,N#Cc1ccc(N2CCc3ccc(F)c(F)c3C2)nc1NC(=O)[C@@H]1CCNC1,-8.158,-4.886,-13.044
HIT_0070,Cn1c(N2CCNc3ccc(N4CC[C@@]5(CCCS5(=O)=O)C4)cc3C2)cccc1=O,-7.723,-5.315,-13.038
HIT_0071,C[C@@H]1[C@H](O)Cc2ccccc2N1[C@@H]1CNCCN([C@@H]2COCc3ccccc32)C1,-6.814,-6.22,-13.033999999999999
HIT_0072,C[C@@H]1CCNCC[C@H]1N1CCCCc2ccc(-c3ccc(C#N)c(F)c3F)nc21,-7.368,-5.657,-13.025
HIT_0073,Fc1ccc(N2CC3(CCN(c4cccc5c4CCCNC5)C3)C2)cc1,-7.667,-5.351,-13.018
HIT_0074,c1ccc(N2CCOCCOCC2)c([C@H]2CCN(c3cccc4c3CCCNC4)C2)c1,-7.607,-5.41,-13.017
HIT_0075,C[C@@H]1[C@H](C)CN(c2ccc3c(n2)N(c2cnc4c(c2)CCC4)CCC3)[C@@H]1C,-8.094,-4.919,-13.012999999999998
HIT_0076,C[C@]1(C(=O)N2CCC[C@@]23CCc2cc(F)ccc23)CCN(c2cccc3c2C2(CC2)C(=O)N3)C1,-8.719,-4.286,-13.004999999999999
HIT_0077,C[C@H]1CN([C@H]2CNCCCN(c3ccc(=O)n(C)c3)C2)c2ccccc21,-7.821,-5.183,-13.004
HIT_0078,CC(C(=O)N1C[C@H](c2nc3cc(F)c(C)cc3o2)[C@H](O)[C@H]1C)=C1CC1,-7.556,-5.447,-13.003
HIT_0079,O=C1CCc2cc(C(=O)N3CC[C@@]34CCOc3ccc(F)cc34)[nH]c2C1,-7.061,-5.942,-13.003
HIT_0080,N#Cc1c(F)cccc1N1CCc2cc3c(cc2C1)CCCC3,-7.757,-5.243,-13.0
HIT_0081,Cc1[nH]cc2c1[C@@H](N1CCc3c(ccc(O)c3Br)C1)CCC2,-7.848,-5.145,-12.992999999999999
HIT_0082,Cc1ccc(Nc2ccc3c(c2)CCN3)cc1N1CCC12CN(C)C2,-7.091,-5.897,-12.988
HIT_0083,O=C([C@@H]1CCCN1c1ccc2c(c1)CC[C@H]2O)N1CCCc2ccc(F)cc21,-7.161,-5.816,-12.977
HIT_0084,Cc1ccc(C2=NC(=Cc3cncc(N4CCCc5ccc(Cl)nc54)n3)C(=O)O2)c(Cl)c1,-7.831,-5.144,-12.975000000000001
HIT_0085,Cc1cc(N2CCCc3ccc(N4CC[C@@](F)(C#N)C4)cc3C2)cnc1O,-7.664,-5.311,-12.975
HIT_0086,O[C@H]1CCOc2ccc(N3CC[C@]4(C3)OCc3ccccc34)cc21,-6.988,-5.983,-12.971
